The Location Data: 
Format: location float[3], rotation quaterion float[4] 
Format: time,  x, y, z, x = k.x * sin(theta/2), y = k.y * sin(theta/2), z = k.z * sin(theta/2), w = cos(theta/2) 
26.2144, -0.06347289, 0.20476459, 0.43053633, 0.03978929, -0.36999673, 0.016974896, 0.92802536, 
132.90701, -0.06347289, 0.20476459, 0.43053633, 0.03978929, -0.36999673, 0.016974896, 0.92802536, 
217.84166, -0.06347289, 0.20476459, 0.43053633, 0.03978929, -0.36999673, 0.016974896, 0.92802536, 
302.25204, -0.06347289, 0.20476459, 0.43053633, 0.03978929, -0.36999673, 0.016974896, 0.92802536, 
354.15656, -0.063083164, 0.20639905, 0.42404082, 0.029784128, -0.37402552, 0.017801493, 0.926769, 
382.4681, -0.06346758, 0.20657766, 0.42348403, 0.029548675, -0.37393007, 0.018186748, 0.9268077, 
414.44968, -0.06331079, 0.20683059, 0.42312708, 0.029358923, -0.37390223, 0.018657178, 0.9268155, 
447.74194, -0.06364212, 0.20707935, 0.42264646, 0.029515833, -0.37305623, 0.019401282, 0.9271362, 
481.2964, -0.06389416, 0.2073217, 0.42221397, 0.030029282, -0.3719576, 0.020426393, 0.92753893, 
514.5887, -0.06311533, 0.2073381, 0.42233902, 0.030266881, -0.37101874, 0.020721763, 0.9279007, 
547.61884, -0.06284498, 0.2075135, 0.42182446, 0.029736906, -0.37040165, 0.020483255, 0.92816955, 
581.1732, -0.06260391, 0.20768687, 0.42123094, 0.02916336, -0.37025067, 0.02019456, 0.92825425, 
614.72766, -0.06233846, 0.20754215, 0.42175868, 0.029096752, -0.36969176, 0.0198735, 0.92848605, 
648.2821, -0.062194914, 0.20768416, 0.42117447, 0.028444335, -0.36947423, 0.019581586, 0.9285991, 
681.83655, -0.062243514, 0.20784822, 0.42053297, 0.02779013, -0.36973688, 0.019503266, 0.92851603, 
714.8667, -0.061813954, 0.20761305, 0.42087847, 0.02775529, -0.36949325, 0.019793868, 0.9286079, 
748.159, -0.06208098, 0.20772478, 0.42046985, 0.027555719, -0.36945635, 0.020023197, 0.92862356, 
781.7134, -0.062385432, 0.2077729, 0.4202559, 0.02774261, -0.36962342, 0.02010718, 0.92854965, 
815.52997, -0.061971482, 0.20751676, 0.420849, 0.02794817, -0.3698116, 0.01974681, 0.92847633, 
848.298, -0.061963454, 0.20758027, 0.42095214, 0.02815777, -0.36936307, 0.019153565, 0.928661, 
881.8524, -0.062104065, 0.2077238, 0.42112023, 0.02861774, -0.3688135, 0.018709213, 0.9288744, 
915.1447, -0.062117152, 0.20755538, 0.4224117, 0.030192375, -0.36816365, 0.018473089, 0.929087, 
948.69916, -0.06273252, 0.20776227, 0.42321, 0.032145843, -0.36821568, 0.018247187, 0.9290053, 
981.205, -0.06325915, 0.20779467, 0.4242307, 0.033545196, -0.3688618, 0.018388331, 0.92869675, 
1014.7594, -0.064063326, 0.20805106, 0.42525068, 0.03772965, -0.3654682, 0.019953877, 0.92984486, 
------------SWITCH------------
26.476543, -0.064543314, 0.2083449, 0.42575982, 0.041805685, -0.36142492, 0.02212274, 0.93120074, 
42.991615, -0.064068474, 0.20866048, 0.42509043, 0.03525558, -0.36680287, 0.019622117, 0.92942333, 
77.33248, -0.06299659, 0.20799664, 0.42514798, 0.034475476, -0.36532286, 0.019923747, 0.9300288, 
110.362625, -0.062915266, 0.20783655, 0.42535728, 0.035932496, -0.36432564, 0.020118415, 0.9303606, 
143.6549, -0.0627093, 0.20773974, 0.425446, 0.03524494, -0.3650681, 0.019407988, 0.93011093, 
177.20935, -0.06264456, 0.20769936, 0.42561567, 0.035306707, -0.36497408, 0.019307882, 0.9301475, 
212.33664, -0.06254961, 0.20716348, 0.4248301, 0.037890628, -0.36462897, 0.019341439, 0.93018055, 
242.74535, -0.063702375, 0.20785114, 0.4273623, 0.039973482, -0.36422092, 0.019268632, 0.9302548, 
277.0862, -0.06435663, 0.20803046, 0.42805248, 0.04264289, -0.362982, 0.01992762, 0.93060654, 
