The Location Data: 
Format: location float[3], rotation quaterion float[4] 
Format: time,  x, y, z, x = k.x * sin(theta/2), y = k.y * sin(theta/2), z = k.z * sin(theta/2), w = cos(theta/2) 
29.360128, -0.067076884, 0.2034038, 0.42867878, 0.063505486, -0.34863728, 0.024852574, 0.9347735, 
134.74202, -0.067076884, 0.2034038, 0.42867878, 0.063505486, -0.34863728, 0.024852574, 0.9347735, 
236.19174, -0.067076884, 0.2034038, 0.42867878, 0.063505486, -0.34863728, 0.024852574, 0.9347735, 
323.4857, -0.067076884, 0.2034038, 0.42867878, 0.063505486, -0.34863728, 0.024852574, 0.9347735, 
375.65234, -0.065441266, 0.20322102, 0.42882818, 0.061890945, -0.35071665, 0.022419661, 0.9341651, 
395.051, -0.0654358, 0.20336533, 0.4290473, 0.062469885, -0.35098982, 0.022042245, 0.93403304, 
433.84833, -0.06553478, 0.20351914, 0.42954716, 0.06396921, -0.35160625, 0.021610916, 0.93370974, 
462.15988, -0.065716274, 0.20365953, 0.43040758, 0.06627636, -0.35298508, 0.02103579, 0.9330416, 
490.47144, -0.065418996, 0.20400508, 0.4307214, 0.07017557, -0.35571945, 0.01949963, 0.9317504, 
534.5116, -0.06541111, 0.20397514, 0.43275583, 0.07628471, -0.35818914, 0.017734557, 0.9303584, 
552.07526, -0.06517056, 0.2037682, 0.4354831, 0.08198106, -0.36598805, 0.013726205, 0.9268999, 
580.91113, -0.06439275, 0.2026993, 0.43938982, 0.08700885, -0.378837, 0.0071059763, 0.92133677, 
610.5334, -0.06302857, 0.2017925, 0.44285756, 0.09167987, -0.38942102, 2.0882487E-4, 0.91648567, 
644.6121, -0.06099281, 0.20022534, 0.44633377, 0.0951785, -0.40211964, -0.0098297, 0.9105735, 
693.633, -0.056973755, 0.19846256, 0.44919026, 0.09505823, -0.41312942, -0.020030081, 0.90547603, 
713.0317, -0.05385412, 0.1961985, 0.45087048, 0.09281084, -0.4248033, -0.030901998, 0.8999852, 
760.2176, -0.050206315, 0.19392933, 0.4512096, 0.085599646, -0.43469125, -0.042033464, 0.8955163, 
783.28625, -0.046196464, 0.19155532, 0.450495, 0.07410933, -0.4446168, -0.054390043, 0.8909912, 
812.12213, -0.041075513, 0.18973519, 0.45027405, 0.059518456, -0.45531213, -0.06690708, 0.88581693, 
845.4144, -0.036920782, 0.18729617, 0.4487707, 0.047405586, -0.46017426, -0.0769501, 0.88321626, 
882.3767, -0.032032687, 0.18526246, 0.44766563, 0.039215192, -0.457335, -0.083866954, 0.8844621, 
914.0961, -0.027975913, 0.183211, 0.44564292, 0.029613212, -0.4568717, -0.09071869, 0.8843989, 
945.29126, -0.025175551, 0.1810012, 0.44388372, 0.019324929, -0.45788443, -0.096725166, 0.88352287, 
977.535, -0.021743972, 0.17928661, 0.44169307, 0.01044178, -0.4570233, -0.10220274, 0.88350165, 
1010.8273, -0.018701497, 0.17764714, 0.43989202, 0.0038789362, -0.45665348, -0.10709861, 0.8831662, 
1043.8574, -0.016027065, 0.17609058, 0.43863213, 6.181598E-4, -0.45557278, -0.11096498, 0.88325524, 
1077.9362, -0.0144359935, 0.17374419, 0.43986118, -0.0036035776, -0.4564948, -0.11659843, 0.88204557, 
1110.9663, -0.011735421, 0.17175166, 0.43902892, -0.010489136, -0.45978388, -0.12407389, 0.8792579, 
1143.21, -0.0089370385, 0.16938001, 0.4377746, -0.015915453, -0.45894587, -0.13112974, 0.87859, 
1177.2887, -0.007144882, 0.16567327, 0.43387103, -0.023419559, -0.45722416, -0.13925555, 0.87806916, 
1210.5809, -0.003081176, 0.16128649, 0.43064326, -0.035825863, -0.45556664, -0.15091091, 0.87658507, 
1245.9705, -0.0040667914, 0.15766901, 0.42886984, -0.05228062, -0.45154262, -0.16429177, 0.8754337, 
1277.4277, 6.856763E-4, 0.15288457, 0.4232783, -0.067822754, -0.44306517, -0.17475507, 0.876672, 
1310.9822, 0.005241831, 0.14828348, 0.41598952, -0.084823385, -0.43270332, -0.18138257, 0.8790182, 
1344.2744, 0.009427628, 0.14457716, 0.40740108, -0.1036187, -0.42291993, -0.18453377, 0.8811068, 
1377.3046, 0.0129224155, 0.14191768, 0.39717677, -0.12473455, -0.41065094, -0.18237236, 0.8846172, 
1411.3833, 0.014553397, 0.14010496, 0.38688982, -0.14419645, -0.39501745, -0.17460015, 0.8903277, 
1444.4135, 0.015478593, 0.13920905, 0.37530154, -0.16532722, -0.37999442, -0.16189179, 0.8955792, 
1477.9679, 0.01541127, 0.13872209, 0.36305317, -0.17784107, -0.35501713, -0.13964036, 0.90710306, 
1510.4738, 0.011070605, 0.1408411, 0.3534144, -0.17462464, -0.32135034, -0.10886097, 0.9243319, 
1544.8146, 0.004491741, 0.14440507, 0.34433535, -0.16726659, -0.28607425, -0.07321322, 0.94065046, 
1577.8447, -6.325854E-4, 0.14746857, 0.33857393, -0.15694106, -0.26431683, -0.04586804, 0.95047474, 
1611.1371, -0.006896416, 0.15202114, 0.33434623, -0.1468584, -0.24689978, -0.019806981, 0.9576434, 
1644.6914, -0.01339076, 0.15709612, 0.3326318, -0.12825958, -0.23157133, 0.003751278, 0.9643184, 
1677.9838, -0.019230997, 0.16041687, 0.33203304, -0.10658294, -0.22075325, 0.022856414, 0.969219, 
1711.276, -0.024887381, 0.1647425, 0.33297047, -0.08747356, -0.21075441, 0.03950137, 0.9728158, 
1744.5684, -0.030159852, 0.16866466, 0.33506742, -0.066788115, -0.2021485, 0.053602666, 0.97560334, 
1778.9092, -0.029278751, 0.1691365, 0.33737835, -0.050782293, -0.19666073, 0.063189894, 0.97711456, 
1810.8907, -0.032954287, 0.17224342, 0.3400805, -0.032772332, -0.19041613, 0.07199171, 0.9785116, 
1843.6587, -0.03561125, 0.17523482, 0.34288213, -0.016407475, -0.18805854, 0.07783249, 0.97893155, 
1877.4753, -0.030848416, 0.17375684, 0.3461135, -0.0025948435, -0.18733701, 0.08068001, 0.9789734, 
1910.5055, -0.031052835, 0.17625818, 0.3483064, 0.0076887235, -0.1876587, 0.08037141, 0.97891045, 
1944.0599, -0.030460099, 0.17863545, 0.35025987, 0.016582206, -0.18984981, 0.078588784, 0.97852224, 
1977.6144, -0.028489886, 0.18072811, 0.35054144, 0.02606693, -0.196033, 0.07624072, 0.9772814, 
2011.6931, -0.027176877, 0.1823945, 0.3523677, 0.032815784, -0.20477049, 0.07145107, 0.97564685, 
2049.7039, -0.025362616, 0.18363339, 0.3537792, 0.038282804, -0.21054223, 0.06569576, 0.9746232, 
2078.5398, -0.021009522, 0.1817775, 0.35524753, 0.04031095, -0.22094521, 0.05826655, 0.9727092, 
2110.2593, -0.01872993, 0.18185154, 0.35609564, 0.039697357, -0.23311445, 0.05075729, 0.970312, 
2145.3865, -0.016654335, 0.1816982, 0.35639083, 0.039389342, -0.23866782, 0.045823902, 0.9692193, 
2177.106, -0.0122983465, 0.17635185, 0.3572964, 0.03767371, -0.24524945, 0.0414986, 0.96783847, 
2211.4468, -0.010222031, 0.17552763, 0.35710597, 0.034342803, -0.25531304, 0.03623712, 0.96556854, 
2243.9526, -0.008295469, 0.1746473, 0.35668305, 0.030334413, -0.2665612, 0.031305075, 0.9628317, 
2278.2935, -0.008538635, 0.1767427, 0.36493388, 0.02508372, -0.28069255, 0.02554804, 0.9591297, 
2310.7993, -0.0069258236, 0.17588061, 0.36523265, 0.020490095, -0.29918808, 0.020144254, 0.95376146, 
2351.4316, -0.0050880746, 0.17623845, 0.36324283, 0.020124853, -0.31010836, 0.017775685, 0.95032203, 
------------SWITCH------------
3.93216, -0.003316214, 0.1756638, 0.36237797, 0.018967435, -0.31810653, 0.015356541, 0.94774073, 
25.165825, -9.926367E-4, 0.1751374, 0.36046237, 0.0071770996, -0.3361227, 0.008646369, 0.9417511, 
76.80819, 0.0045663416, 0.17304358, 0.35815915, -0.003079921, -0.3495678, 0.0012586713, 0.93690515, 
106.69261, 0.005904964, 0.1721741, 0.35719484, -0.0038566887, -0.35269377, -5.9849024E-4, 0.93573064, 
142.08205, 0.0073117847, 0.17130679, 0.3558764, -0.0065815, -0.35408747, -0.0020957887, 0.93518674, 
175.37433, 0.005707303, 0.17281732, 0.35700157, -0.008215204, -0.35503417, -0.0033286512, 0.93481123, 
207.35591, 0.006612685, 0.17215738, 0.35589704, -0.010156125, -0.35716984, -0.005011797, 0.93397075, 
240.6482, 0.0072902148, 0.17158635, 0.3546877, -0.011316523, -0.35710037, -0.0056150854, 0.93398046, 
274.20264, 0.005053701, 0.1749699, 0.3608805, -0.010102451, -0.35444346, -0.004606396, 0.9350115, 
307.4949, 0.0049594217, 0.1747646, 0.36022976, -0.009883866, -0.3555501, -0.0044081807, 0.9345946, 
341.04935, 0.0049122265, 0.17457664, 0.35943192, -0.010253489, -0.35610515, -0.004209161, 0.9343802, 
376.96307, 0.0033518635, 0.17544383, 0.36162066, -0.0076824874, -0.35510504, -0.0036192238, 0.93478787, 
407.10962, 0.003304635, 0.17516686, 0.36131483, -0.006428212, -0.3557845, -0.0039524436, 0.9345376, 
443.02335, 0.00342291, 0.17482793, 0.36085182, -0.0055733174, -0.3544609, -0.004092425, 0.93504524, 
474.7428, 0.0025944505, 0.17577559, 0.36486262, -0.0040061623, -0.35342306, -0.004499346, 0.9354441, 
507.51077, 0.0026850605, 0.17558432, 0.36445373, -0.0042407066, -0.35405177, -0.0046575665, 0.93520457, 
541.5895, 0.0028405958, 0.17548385, 0.36370715, -0.0054371804, -0.35407174, -0.004797548, 0.9351901, 
574.6196, 0.002067006, 0.17612606, 0.36630285, -0.005733609, -0.3546877, -0.0048689246, 0.9349545, 
607.1255, 0.0019401488, 0.17609125, 0.36587578, -0.0062343925, -0.3556341, -0.004921496, 0.93459153, 
640.9421, 0.0018749372, 0.17608038, 0.3653917, -0.006862968, -0.35527426, -0.004624903, 0.9347255, 
676.5937, 2.7768136E-4, 0.17701639, 0.36877233, -0.006474927, -0.3560518, -0.0045745373, 0.9344326, 
708.8374, 1.3912104E-4, 0.17691451, 0.36908382, -0.0057305694, -0.35678306, -0.004842967, 0.93415713, 
742.12964, 8.387348E-6, 0.17681658, 0.36944348, -0.004455507, -0.356641, -0.004628986, 0.9342195, 
775.42194, -2.3917206E-4, 0.17727178, 0.37240177, -0.0047822297, -0.3585847, -0.0057498813, 0.93346715, 
818.1514, -2.4177572E-4, 0.17710277, 0.37289116, -0.00570789, -0.36112896, -0.0073259473, 0.93246955, 
897.58105, -2.4177572E-4, 0.17710277, 0.37289116, -0.00570789, -0.36112896, -0.0073259473, 0.93246955, 
