The Location Data: 
Format: location float[3], rotation quaterion float[4] 
Format: time,  x, y, z, x = k.x * sin(theta/2), y = k.y * sin(theta/2), z = k.z * sin(theta/2), w = cos(theta/2) 
23.330816, 0.013309175, -0.008896659, -0.0049318783, -0.36052704, -0.023305118, -0.027032167, 0.9320656, 
131.072, 0.012887982, -0.009772679, -0.00648523, -0.36552495, -0.024665609, -0.026456445, 0.9300984, 
246.41536, 0.012966349, -0.0104477145, -0.008332763, -0.36881667, -0.021307841, -0.024363369, 0.9289385, 
270.27048, 0.012883171, -0.011075265, -0.009507514, -0.36945918, -0.016237915, -0.023176163, 0.92881596, 
292.81485, 0.012913328, -0.011927146, -0.010864606, -0.37120506, -0.01068452, -0.022027612, 0.928228, 
321.38855, 0.013066343, -0.012925159, -0.0122513585, -0.37140736, -0.002388388, -0.02196002, 0.9282072, 
364.90445, 0.013118379, -0.013903579, -0.011766816, -0.37043583, 0.008854523, -0.022451758, 0.9285444, 
386.92453, 0.013271075, -0.015220702, -0.012748959, -0.37024918, 0.019113183, -0.023585498, 0.9284363, 
419.69254, 0.0138052, -0.016830524, -0.01334368, -0.3715181, 0.026712716, -0.024801403, 0.9277098, 
453.77127, 0.014661421, -0.018443065, -0.013534127, -0.37294957, 0.0301978, -0.02619654, 0.92699, 
488.6364, 0.015745407, -0.019678067, -0.012925397, -0.37498298, 0.028554916, -0.026738316, 0.9262059, 
520.35583, 0.018738685, -0.01940592, -0.010068743, -0.3774041, 0.022991315, -0.027244538, 0.9253622, 
553.386, 0.020769859, -0.018301442, -0.006876663, -0.37840772, 0.011156619, -0.025188327, 0.9252289, 
587.989, 0.023415202, -0.015564157, -0.0016725678, -0.37530932, -0.006495774, -0.02394703, 0.92656744, 
621.28125, 0.026732115, -0.011521202, 0.005395744, -0.3653435, -0.02278693, -0.024909645, 0.9302603, 
653.52496, 0.03149719, -0.0068363883, 0.013015905, -0.35068733, -0.0351443, -0.027461112, 0.93543, 
687.6037, 0.035630163, -0.0017170664, 0.021747375, -0.33985803, -0.050242335, -0.029964626, 0.93865556, 
722.2067, 0.03928419, 0.0036633573, 0.030501403, -0.3360446, -0.07347737, -0.02890551, 0.93853056, 
754.1883, 0.043711625, 0.008186512, 0.038448386, -0.33258688, -0.089449644, -0.028479487, 0.9383888, 
787.4806, 0.046433035, 0.014427194, 0.048398867, -0.32381782, -0.10374581, -0.026637524, 0.9400369, 
821.03503, 0.048800513, 0.020804862, 0.05912125, -0.31320134, -0.11493128, -0.025853038, 0.9423521, 
853.803, 0.052568994, 0.0257291, 0.06980192, -0.30462226, -0.12955135, -0.027882546, 0.9432095, 
887.8817, 0.055308186, 0.03138227, 0.08160725, -0.29744017, -0.14759503, -0.031995118, 0.9427201, 
922.48474, 0.057134494, 0.037398126, 0.093419, -0.29262975, -0.16950691, -0.032931447, 0.9405056, 
954.20416, 0.058233332, 0.04317949, 0.106134646, -0.2862236, -0.18794888, -0.035077155, 0.93889344, 
988.2829, 0.058872692, 0.04853776, 0.11664967, -0.27818978, -0.19868997, -0.038361102, 0.9389682, 
1021.31305, 0.058671694, 0.055494122, 0.1300587, -0.2639756, -0.21223852, -0.04114881, 0.9399886, 
1054.081, 0.060123995, 0.06369406, 0.14402583, -0.24545336, -0.2232742, -0.04311177, 0.94236016, 
1087.6355, 0.058079764, 0.07117025, 0.1579121, -0.22898524, -0.23158835, -0.043850273, 0.94446266, 
1120.9277, 0.05468166, 0.07947379, 0.17336416, -0.2146322, -0.24260457, -0.042963237, 0.94510853, 
1153.6958, 0.0505576, 0.08737153, 0.1844995, -0.20391369, -0.25224853, -0.04374504, 0.9449212, 
1188.0366, 0.04648666, 0.09387221, 0.19788393, -0.18988453, -0.25925288, -0.044500828, 0.945913, 
1221.8531, 0.041740224, 0.10015656, 0.2111543, -0.17496619, -0.2645845, -0.043988198, 0.9473367, 
1253.5726, 0.03383695, 0.107254244, 0.22206649, -0.16006234, -0.26985136, -0.042894572, 0.9485358, 
1287.9135, 0.02841672, 0.113144875, 0.23474818, -0.1460066, -0.27350068, -0.042349607, 0.94978213, 
1320.6815, 0.022871466, 0.118897624, 0.24706128, -0.13317749, -0.27679417, -0.04162222, 0.9507452, 
1353.7117, 0.015266675, 0.12328245, 0.2580135, -0.118176445, -0.27991623, -0.039509952, 0.95190346, 
1386.7417, 0.009093076, 0.12872612, 0.27080426, -0.101098634, -0.2835023, -0.03701341, 0.95290893, 
1420.5583, 0.0029514292, 0.13387734, 0.28339887, -0.085239395, -0.28700507, -0.03455329, 0.9535032, 
1453.0642, -0.0012166549, 0.13611972, 0.28794482, -0.07239322, -0.2895398, -0.033893913, 0.95382226, 
1487.9293, -0.0073753768, 0.14062142, 0.29994863, -0.053678602, -0.2906836, -0.031063557, 0.95480716, 
1520.4352, -0.013856265, 0.14505094, 0.3117392, -0.033647418, -0.29043585, -0.025874108, 0.95595264, 
1553.7275, -0.02036449, 0.1493229, 0.3233856, -0.013077617, -0.2898265, -0.020605028, 0.95676804, 
1587.5441, -0.023710916, 0.15308976, 0.32806507, 0.0057393163, -0.2905168, -0.017534614, 0.956692, 
1624.7686, -0.030062351, 0.15761098, 0.33863333, 0.023711279, -0.29152656, -0.012489408, 0.95618725, 
1654.653, -0.038162075, 0.16372158, 0.35160208, 0.044456743, -0.2905465, -0.0071701705, 0.95580053, 
1686.3723, -0.045517847, 0.16850364, 0.36331385, 0.06705391, -0.29202244, -5.759895E-4, 0.9540578, 
1721.7618, -0.052817855, 0.1731557, 0.37473437, 0.086207576, -0.297023, 0.005646527, 0.95095414, 
1753.4812, -0.058551323, 0.17602125, 0.38445595, 0.10511419, -0.30085263, 0.008328229, 0.9478234, 
1786.2493, -0.06412013, 0.17949289, 0.3950134, 0.12495181, -0.30251586, 0.01038, 0.94486165, 
1820.0658, -0.06894895, 0.18276429, 0.4042083, 0.1421672, -0.30326605, 0.013024479, 0.94215095, 
1853.358, -0.07214275, 0.18529414, 0.40994668, 0.15701021, -0.30036032, 0.01353389, 0.9407169, 
1886.1261, -0.0751759, 0.18806605, 0.4166156, 0.17031695, -0.29914528, 0.015350759, 0.938759, 
1920.4669, -0.07810511, 0.19083485, 0.4224625, 0.18153772, -0.2995343, 0.018020868, 0.936482, 
1953.235, -0.07999561, 0.19213603, 0.4268676, 0.19129568, -0.30014968, 0.019993514, 0.93429995, 
1986.5272, -0.082557775, 0.1941705, 0.43181124, 0.19850156, -0.3050218, 0.022198379, 0.93116385, 
2022.7031, -0.08516727, 0.1959041, 0.4368036, 0.20679682, -0.30947816, 0.024858683, 0.92781496, 
2054.1604, -0.08882928, 0.19804609, 0.44434655, 0.21223097, -0.31515613, 0.02788359, 0.9245849, 
2087.4526, -0.09165557, 0.19958918, 0.44850063, 0.21438624, -0.325291, 0.031207234, 0.920462, 
