The Location Data: 
Format: location float[3], rotation quaterion float[4] 
Format: time,  x, y, z, x = k.x * sin(theta/2), y = k.y * sin(theta/2), z = k.z * sin(theta/2), w = cos(theta/2) 
27.787264, -0.04813523, 0.21744058, 0.41851267, 0.08319785, -0.3802817, 0.022438586, 0.9208477, 
137.6256, -0.04813523, 0.21744058, 0.41851267, 0.08319785, -0.3802817, 0.022438586, 0.9208477, 
228.32742, -0.04813523, 0.21744058, 0.41851267, 0.08319785, -0.3802817, 0.022438586, 0.9208477, 
318.24283, -0.04813523, 0.21744058, 0.41851267, 0.08319785, -0.3802817, 0.022438586, 0.9208477, 
379.0602, -0.04678716, 0.21564907, 0.4177637, 0.07660459, -0.38326246, 0.01848507, 0.92027175, 
405.01248, -0.046365168, 0.21561468, 0.41721195, 0.07578282, -0.3831138, 0.018485337, 0.9204016, 
438.30478, -0.045792457, 0.21560562, 0.41656017, 0.0752168, -0.38203788, 0.018615276, 0.92089236, 
473.95636, -0.045141444, 0.21552488, 0.4160286, 0.07458271, -0.38157392, 0.018199056, 0.9211447, 
505.93793, -0.045041114, 0.21554446, 0.41560924, 0.07375702, -0.3812904, 0.017924488, 0.92133397, 
539.2302, -0.044711046, 0.21535745, 0.41536906, 0.07359402, -0.3812213, 0.017800033, 0.92137796, 
572.2604, -0.044511277, 0.21525097, 0.41519547, 0.073488235, -0.38140556, 0.01780203, 0.92131007, 
605.29047, -0.04489028, 0.21594265, 0.4145173, 0.072934404, -0.38147867, 0.017787099, 0.92132413, 
639.3692, -0.04491288, 0.21608135, 0.41412672, 0.07272132, -0.38115793, 0.018221408, 0.92146516, 
671.87506, -0.04479995, 0.21632424, 0.41355684, 0.07194945, -0.38093275, 0.018415421, 0.921615, 
704.9052, -0.044694018, 0.2168616, 0.4125092, 0.07037477, -0.3806991, 0.018461615, 0.9218322, 
740.5568, -0.04434049, 0.21722284, 0.41151306, 0.067680374, -0.38069707, 0.018415153, 0.9220358, 
774.89764, -0.044003792, 0.21756215, 0.41047287, 0.06371419, -0.38221604, 0.017840773, 0.9217012, 
805.3064, -0.044266254, 0.21722406, 0.4098537, 0.058503285, -0.38409597, 0.016661882, 0.92128706, 
839.3851, -0.04355191, 0.21719155, 0.40871707, 0.051919, -0.38618052, 0.014793754, 0.920842, 
873.72595, -0.042522147, 0.2169142, 0.40733942, 0.042641178, -0.3903848, 0.011482984, 0.919592, 
905.7075, -0.04180311, 0.21632048, 0.40640363, 0.032674327, -0.39367706, 0.008142322, 0.9186318, 
939.26196, -0.040442325, 0.21517405, 0.40465072, 0.02416715, -0.39578956, 0.005151242, 0.9180087, 
972.2921, -0.038970675, 0.21378213, 0.40287584, 0.017046154, -0.39705974, 0.0026299953, 0.91763073, 
1004.798, -0.039033778, 0.21536279, 0.40233642, 0.012761459, -0.3995629, -1.809001E-5, 0.9166169, 
1038.8767, -0.038435653, 0.21429403, 0.401482, 0.011005983, -0.40141124, -0.0016978979, 0.91583014, 
1072.6932, -0.038393453, 0.21359554, 0.40122113, 0.012271106, -0.4007232, -0.0016088784, 0.9161155, 
1104.1505, -0.038520165, 0.21226336, 0.40311402, 0.014318854, -0.4016276, -0.0018544495, 0.91568923, 
1138.4913, -0.03886096, 0.21220198, 0.4034612, 0.018367708, -0.39763668, -3.261268E-4, 0.917359, 
------------SWITCH------------
12.845056, -0.0390945, 0.2129581, 0.4043792, 0.019985378, -0.3963502, 2.0819902E-4, 0.9178819, 
28.573696, -0.03843129, 0.21326777, 0.4036776, 0.01580359, -0.40042132, -0.0024852753, 0.9161914, 
73.40032, -0.038153477, 0.2136744, 0.4027879, 0.015398592, -0.39894173, -0.0016658604, 0.91684544, 
103.54688, -0.038077805, 0.21425277, 0.40261012, 0.017077029, -0.3952939, 2.4861097E-4, 0.9183959, 
134.47987, -0.037882894, 0.21473913, 0.40137923, 0.015907377, -0.39377797, 0.0013029575, 0.919067, 
165.41286, -0.037542433, 0.21521515, 0.39997077, 0.014195383, -0.39126042, 0.002070129, 0.92016804, 
196.87015, -0.037413992, 0.21561316, 0.3988177, 0.01424621, -0.38795102, 0.0032850206, 0.921564, 
227.80313, -0.038108915, 0.21478987, 0.40006143, 0.0132855475, -0.38603488, 0.0038132668, 0.92238057, 
263.19257, -0.03830821, 0.21513906, 0.39907923, 0.012572646, -0.38253292, 0.0051776767, 0.9238417, 
295.17413, -0.038779803, 0.21556473, 0.39904416, 0.0120331645, -0.38088125, 0.0062780976, 0.9245243, 
327.41785, -0.03951867, 0.21597749, 0.39857984, 0.012686431, -0.3790181, 0.007615, 0.92527103, 
362.28302, -0.04038778, 0.21641812, 0.39827046, 0.014347792, -0.376275, 0.0095267, 0.926348, 
396.62387, -0.041295562, 0.21686345, 0.398009, 0.01576516, -0.37478128, 0.011015296, 0.92691374, 
429.91617, -0.04306071, 0.21762016, 0.39841905, 0.016457543, -0.37371266, 0.01225096, 0.9273176, 
461.6356, -0.043881215, 0.2180137, 0.39806896, 0.017276958, -0.37192565, 0.013350964, 0.9280057, 
500.69504, -0.044876225, 0.21836142, 0.39774555, 0.019489542, -0.37321752, 0.014726698, 0.92742217, 
529.0066, -0.04458907, 0.2188671, 0.39654836, 0.018507957, -0.37031892, 0.015822291, 0.92858547, 
562.56104, -0.044431686, 0.21914941, 0.39535713, 0.016731009, -0.3705312, 0.014743686, 0.92855227, 
596.1155, -0.04463949, 0.21934459, 0.39429125, 0.016556382, -0.36989173, 0.015158176, 0.9288036, 
628.3592, -0.044073563, 0.21854988, 0.3933129, 0.016497329, -0.36818856, 0.016079396, 0.9294658, 
660.86505, -0.04428064, 0.21869798, 0.39222652, 0.015282884, -0.36802632, 0.01644227, 0.9295443, 
696.5166, -0.044607576, 0.21882541, 0.39146054, 0.015211657, -0.36774343, 0.016738117, 0.92965215, 
729.8089, -0.04487359, 0.21923274, 0.39183778, 0.0156852, -0.36715367, 0.017408669, 0.92986506, 
762.31476, -0.045495473, 0.21945596, 0.39146417, 0.016091973, -0.36702532, 0.01793468, 0.9298988, 
795.08276, -0.046250097, 0.21963187, 0.39123595, 0.017258331, -0.36676615, 0.018630922, 0.9299665, 
828.6372, -0.046615176, 0.22009437, 0.39188796, 0.01832679, -0.3666747, 0.01897347, 0.92997503, 
861.4052, -0.04707686, 0.2201916, 0.39180207, 0.019745618, -0.365211, 0.019114107, 0.930519, 
894.17316, -0.047505397, 0.22025338, 0.3917257, 0.020741656, -0.3651076, 0.019046932, 0.93053937, 
927.98975, -0.047902796, 0.22136511, 0.39330816, 0.021335497, -0.36506194, 0.01905021, 0.9305438, 
961.28204, -0.04829396, 0.22153085, 0.3931393, 0.022471517, -0.36441803, 0.019370377, 0.93076277, 
997.45795, -0.047770597, 0.22232398, 0.39465073, 0.023198709, -0.3645904, 0.019353837, 0.9306778, 
1027.8666, -0.048023537, 0.22262704, 0.39455903, 0.023747712, -0.36516917, 0.019271284, 0.93043864, 
1060.8967, -0.048355337, 0.2230041, 0.39451408, 0.025383085, -0.36458912, 0.01966399, 0.93061465, 
1094.1891, -0.047415994, 0.22357821, 0.3982224, 0.026161477, -0.36504626, 0.019769698, 0.9304118, 
1126.957, -0.047713336, 0.22387736, 0.39850307, 0.026997387, -0.36639667, 0.019329578, 0.9298661, 
1161.0358, -0.04805709, 0.22397205, 0.39892766, 0.028365657, -0.36686248, 0.018788517, 0.9296527, 
1196.6874, -0.04727779, 0.22449556, 0.40186957, 0.030113071, -0.36774105, 0.017971158, 0.92926687, 
1228.4067, -0.047566522, 0.224507, 0.40263727, 0.03084892, -0.37005973, 0.01704368, 0.9283391, 
1268.2527, -0.047895536, 0.22455476, 0.40340054, 0.03178385, -0.371282, 0.016510665, 0.9278291, 
1345.5852, -0.047895536, 0.22455476, 0.40340054, 0.03178385, -0.371282, 0.016510665, 0.9278291, 
